,X.1,X,City,TotalDeaths,Massachusetts.Cities.by.Population.Rank,Population,County,Year,Deaths,DeathsPerCapita,TotalDeathsPerCapita
1151,1151,1151,Granby,7,228,6332,Hampshire,2016,1,0.000157928,0.001105496
1152,1152,1152,Granville,0,306,1624,Hampden,2016,0,0,0
1153,1153,1153,Great Barrington,2,220,6855,Berkshire,2016,1,0.000145879,0.000291758
1154,1154,1154,Greenfield,27,NA,17456,Franklin,2016,7,0.000401008,0.001546746
1155,1155,1155,Groton,3,170,11364,Middlesex,2016,0,0,0.000263992
1156,1156,1156,Groveland,4,221,6789,Essex,2016,1,0.000147297,0.000589188
1157,1157,1157,Hadley,4,242,5335,Hampshire,2016,2,0.000374883,0.000749766
1158,1158,1158,Halifax,8,209,7855,Plymouth,2016,2,0.000254615,0.00101846
1159,1159,1159,Hamilton,5,207,8051,Essex,2016,3,0.000372625,0.000621041
1160,1160,1160,Hampden,3,247,5196,Hampden,2016,1,0.000192456,0.000577367
1161,1161,1161,Hancock,1,337,698,Berkshire,2016,1,0.001432665,0.001432665
1162,1162,1162,Hanover,10,139,14444,Plymouth,2016,6,0.000415397,0.000692329
1163,1163,1163,Hanson,12,176,10777,Plymouth,2016,2,0.00018558,0.001113482
1164,1164,1164,Hardwick,4,276,3025,Worcester,2016,2,0.000661157,0.001322314
1165,1165,1165,Harvard,1,225,6569,Worcester,2016,0,0,0.00015223
1166,1166,1166,Harwich,11,161,12145,Barnstable,2016,3,0.000247015,0.000905723
1167,1167,1167,Hatfield,7,270,3299,Hampshire,2016,1,0.000303122,0.002121855
1168,1168,1168,Haverhill,138,15,63639,Essex,2016,37,0.000581404,0.002168482
1169,1169,1169,Hawley,0,344,337,Franklin,2016,0,0,0
1170,1170,1170,Heath,0,336,699,Franklin,2016,0,0,0
1171,1171,1171,Hingham,3,86,23415,Plymouth,2016,1,4.27E-05,0.000128123
1172,1172,1172,Hinsdale,5,290,1932,Berkshire,2016,2,0.001035197,0.002587992
1173,1173,1173,Holbrook,22,174,11026,Norfolk,2016,7,0.000634863,0.001995284
1174,1174,1174,Holden,15,100,18943,Worcester,2016,5,0.00026395,0.000791849
1175,1175,1175,Holland,1,283,2496,Hampden,2016,0,0,0.000400641
1176,1176,1176,Holliston,10,136,14753,Middlesex,2016,1,6.78E-05,0.000677828
1177,1177,1177,Holyoke,48,38,40341,Hampden,2016,11,0.000272675,0.001189856
1178,1178,1178,Hopedale,7,236,5976,Worcester,2016,1,0.000167336,0.001171352
1179,1179,1179,Hopkinton,10,109,18035,Middlesex,2016,0,0,0.000554477
1180,1180,1180,Hubbardston,6,254,4715,Worcester,2016,1,0.000212089,0.001272534
1181,1181,1181,Hudson,15,95,19944,Middlesex,2016,3,0.000150421,0.000752106
